file,PC1,PC2,PC3,Color,Spatiality,Composition,Shape,Material
17_tyndall_bruce_b_format.wav,1.207987605313785,0.0170844682971705,-0.5805319157372311,0.455,0.9715,0.1195,0.194,0.624
18_R1 Nuclear Reactor Hall.wav,-2.776861525488524,-0.0833587706763979,0.1382068916249046,0.5535,0.8614999999999999,0.622,0.9255,0.843
19_clifford_tower_S1R1_Bformat.wav,-0.7886872612644534,-0.4321398864417585,0.0238112517783276,0.1055,0.267,0.05,0.5,0.201
20_newgrange_s1r6.wav,2.7136809296095525,0.4960879020622178,-0.3379084887716857,0.653,0.2225,0.214,0.4609999999999999,0.1795
21_newgrange_s6r1.wav,3.3774097403032526,5.586794679455214,3.68268678431087,0.21,0.618,0.1325,0.4475,0.392
"22_Holy Trinity Church, Goodramgate (Position1).wav",0.5340128098395523,-0.5352209943765699,-0.0639615536846505,0.318,0.5605,0.455,0.5315,0.754
23_Creswell Crags (1_r_rhcbottom_s_rhc_bottom).wav,0.2152395520943738,-0.2677120241028364,0.0376024066442691,0.45,0.536,0.4845,0.8315,0.499
24_Innocent Railway Tunnel (tunnel_entrance_a_4way_bformat).wav,2.2045135892561847,0.1402723886590652,-0.5773483239976637,0.8005,0.514,0.2395,0.63,0.5395
25_Hoffmann Lime Kiln (ir_p1).wav,1.0414083919666992,-0.3847062574886041,-0.2272862776072364,0.125,0.531,0.008,0.527,0.7404999999999999
"26_Ron Cooke Hub, University of York( fsfr).wav",-0.916880183276617,-0.8484806584555508,0.4537133722215949,0.4609999999999999,0.539,0.441,0.129,0.6885
"27_T2 Hangar, Yorkshire Air Museum (AM_spist_S2R1).wav",-4.203550639046475,-0.3449519922286489,1.3547991204550411,0.4125,0.2319999999999999,0.213,0.344,0.1755
"28_Arthur Sykes Rymer Auditorium, University of York (s2r4).wav",2.685832347733017,0.3111769664940643,-0.557515611467067,0.88,0.696,0.4494999999999999,0.3695,0.516
29_Falkland Palace Bottle Dungeon.wav,-0.8091083945235382,-0.7294379576521485,0.245748409895777,0.2505,0.434,0.737,0.424,0.096
30_gill-heads-mine.wav,2.9519480870623407,0.4673915381876633,-0.645777962524454,0.2785,0.288,0.579,0.6615,0.518
"31_St. Patrick’s Church, Patrington v (soundfield_s1r1).wav",-0.9569163307769274,-0.7532759293085745,0.3986027865171694,0.4564999999999999,0.656,0.26,0.437,0.6945
32_St. Paul’s Cathedral (bformat_P1 - S Dome R Nave Average).wav,-3.956057744797538,2.015293499059323,-1.3425506135980982,0.3905,0.8175,0.187,0.6145,0.6625000000000001
33_Heslington Church.wav,-1.7647982158716613,-1.1179443412724348,0.7788925968720734,0.6155,0.361,0.6185,0.648,0.6725
34_terrys_typing_b_format.wav,-0.5874969185626706,-0.3786574206641109,-0.0669272875279064,0.3335,0.4515,0.6125,0.6915,0.7235
35_St. Margaret’s Church – National Centre for Early Music (r1_1st_configuration).wav,-0.705972638159702,-0.7816194288969162,0.3676581926489667,0.792,0.502,0.4695,0.5505,0.275
36_theatre41_HL01_bformatIR_48k.wav,0.7781943862400028,-0.5577332217197969,-0.0376545545143466,0.441,0.494,0.859,0.562,0.44
37_The Shrine and Parish Church of All Saints North Street (r1_90_bformat).wav,-1.6915126502982922,-1.0847414053937785,0.7660112838794771,0.3289999999999999,0.5155000000000001,0.158,0.3925,0.36
38_Genesis 6 Studio – Live Room Drum Set Up (kick_ir).wav,2.966908382582221,0.4227787897004654,-0.6001318888189084,0.688,0.3904999999999999,0.4075,0.618,0.4925
39_Genesis 6 Studio – Live Room Drum Set Up (crash_ir).wav,2.852071262033583,0.3397450859683759,-0.5593724636989974,0.6675,0.3255,0.692,0.5469999999999999,0.4014999999999999
"40_Lady Chapel, St Albans Cathedral.wav",0.2179387051907243,-0.1092699607449851,-0.350905707846995,0.7775,0.643,0.2774999999999999,0.3435,0.648
"41_Sports Centre, University of York.wav",-3.5472893252908535,0.3443793698464019,0.1795432254850454,0.638,0.2855,0.355,0.8895,0.351
42_theatre41_C01_bformatIR_48k.wav,1.047242415854212,-0.4785460589118634,-0.1564811619707451,0.661,0.8685,0.128,0.714,0.53
43_theatre41_HR01_bformatIR_48k.wav,1.0865914290441712,-0.4188378260536518,-0.1629138606678508,0.4974999999999999,0.3645,0.8009999999999999,0.6895,0.1865
44_terrys_warehouse_b_format.wav,-4.8412834994034295,1.8302513539115364,-1.135806133107646,0.782,0.68,0.217,0.544,0.4599999999999999
45_Creswell Crags (2_r_rhcbottom_s_rhc_mouth).wav,1.6852992608318986,-0.0398768851751188,-0.4741396240345031,0.335,0.204,0.616,0.3675,0.243
46_newgrange_s1r1.wav,3.577531456108641,1.1509762036188491,-0.4939176226886804,0.516,0.685,0.546,0.4519999999999999,0.5800000000000001
47_York Guildhall Council Chamber (councilchamber_s1_r1_ir_1_96000).wav,-0.2412389746891929,-0.9069543961532548,0.3577789284396292,0.5705,0.8385,0.7585,0.3545,0.6425000000000001
48_Jack Lyons Concert Hall (rir_jack_lyons_lp1_96k).wav,-1.7434573727875669,-1.000452128716529,0.6968845248417562,0.434,0.52,0.6635,0.4105,0.487
49_theatre41_HR05_bformatIR_48k.wav,1.0367558676382715,-0.4431187507772597,-0.1434567190873681,0.5715,0.706,0.2615,0.535,0.6985
