file,PC1,PC2,PC3,PC4,PC5,PC6,Color,Spatiality,Composition,Shape,Material
33_Heslington Church.wav,0.6592962132452327,-2.0956141428176225,0.2063948914292533,0.1637072976399469,0.3892299772864472,-0.3532559406521784,0.6155,0.361,0.6185,0.648,0.6725
34_terrys_typing_b_format.wav,0.6282859054074686,-0.5981744957328252,1.325157882191629,-0.3092247672892673,-0.4673569066787389,0.508528386602777,0.3335,0.4515,0.6125,0.6915,0.7235
35_St. Margaret’s Church – National Centre for Early Music (r1_1st_configuration).wav,0.3439053215768904,-1.238982514600088,2.858217736273724,-0.1008125255977418,-0.3024089397857818,1.9494066621753037,0.792,0.502,0.4695,0.5505,0.275
36_theatre41_HL01_bformatIR_48k.wav,-1.5213241607079426,-0.4073625933643868,-0.1408889860570646,-0.3148075786564399,-0.0044617698097899,-0.1134977286960118,0.441,0.494,0.859,0.562,0.44
37_The Shrine and Parish Church of All Saints North Street (r1_90_bformat).wav,1.2492401005008262,-1.7175596780499771,-2.865127985864162,4.903907591411171,-1.7606032229274242,1.803413149164969,0.3289999999999999,0.5155000000000001,0.158,0.3925,0.36
38_Genesis 6 Studio – Live Room Drum Set Up (kick_ir).wav,-3.384176896300026,1.4271526356324558,-0.198339147539076,-0.4629749734637064,-0.2568856634947077,0.1930132370184816,0.739,0.606,0.052,1.0,0.627
39_Genesis 6 Studio – Live Room Drum Set Up (crash_ir).wav,-3.352036324781794,1.3029292891453406,-0.0902541801752506,-0.4540731908427964,-0.2543129339263356,0.3073488263347826,0.436,0.38,0.837,0.374,0.197
"40_Lady Chapel, St Albans Cathedral.wav",0.1613250572542201,0.1159832193640769,-0.4893133003551353,-0.4967823889560193,-0.2183511048776171,-0.7538828058944012,0.7775,0.643,0.2774999999999999,0.3435,0.648
"41_Sports Centre, University of York.wav",5.733031658516883,-0.8814008610565988,0.6031321337541022,-0.0045220907996708,-0.5597547930604849,-2.018328463067236,0.638,0.2855,0.355,0.8895,0.351
42_theatre41_C01_bformatIR_48k.wav,-1.6473611056487556,-0.1829662699647913,0.4776851049020244,-0.3929808268265329,-0.2150460727019867,0.4256927817586144,0.661,0.8685,0.128,0.714,0.53
