file,RT20,RT30,EDT,C50,C80,D50,D80,oct_band_T20_31hz,oct_band_T20_63hz,oct_band_T20_125hz,oct_band_T20_250hz,oct_band_T20_500hz,oct_band_T20_1000hz,oct_band_T20_2000hz,oct_band_T20_4000hz,oct_band_T20_8000hz,oct_band_T20_16000hz,Color,Spatiality,Composition,Shape,Material
11_Hendrix-Hall-UoY (IR_EigenmikeHHR2_processed_Bformat).wav,0.853608787558597,1.1402434352136095,0.5642551400291432,5.29723,9.247833,0.77201647,0.8937273,5.03744367283072,0.9748397661836742,0.942936969881906,1.2458217507006586,0.8232698868088405,0.7456611755690634,0.7503990227330717,1.1040636902792278,0.9796481960014944,0.6472174952768643,0.5616666666666666,0.463,0.3296666666666666,0.4893333333333333,0.4763333333333333
12_Innocent Railway Tunnel (middle_tunnel_4way_bformat).wav,1.382914598791772,2.0496336622107325,0.8089667813462641,1.974241,5.283573,0.6117289,0.77146244,15.02359491156646,7.238822689246215,4.103941816273142,1.8861122843082103,1.389884539582217,1.5464934677012736,1.6043583170776703,1.238318302835382,0.9247793001685574,0.6325160236625711,0.674,0.8415,0.637,0.4425,0.628
"13_Tvísöngur Sound Sculpture, Iceland (source2domelareceiver1domefabformat).wav",1.4714605220932198,1.6212370550121329,1.4025862055585192,1.2344332,3.96863,0.5705851,0.7137794,2.578748488729596,2.084262405002427,2.3766317101813863,2.267898825574599,1.8881314644852931,1.8331665674170197,1.7449829636333145,1.5215082837195355,1.0953503593609304,0.7556313467511725,0.3615,0.8374999999999999,0.0,0.4624999999999999,0.484
"14_Central Hall, University of York ir_centre_stalls.wav",1.0476384363722766,1.082017988459013,1.03280522653656,2.9296389,4.791127,0.6625266,0.7508588,2.8489520359754463,2.516979622796259,1.4045050612553818,1.3157339994722992,1.0553715512821706,1.0906028378333477,1.099838802637263,1.0233603366973654,0.842542703526775,0.6364584338024115,0.5045,0.673,0.5295,0.6094999999999999,0.229
15_The Dixon Studio Theatre (r1_rir_bformat).wav,1.0591690179710955,1.1023433606744053,0.9445695550693948,0.47131184,3.2681978,0.5271044,0.6797299,7.816382141102691,1.824765115911936,1.404133026043212,1.1581017745383084,1.1430740200829357,1.0579868160943782,1.116296167683983,1.0864903619784838,0.8425392486349174,0.6148043059391957,0.8055,0.455,0.5745,0.5145,0.78
"16_Tvísöngur Sound Sculpture, Iceland (source1domefareceiver2domelabformat).wav",1.559469922213707,1.6687617220711146,1.534914325007854,0.6337061,2.987102,0.53641444,0.6654785,2.736767317428229,1.9805695667035867,2.386343689196987,2.2077076097731556,1.9342886728282047,1.8378899590985889,1.7630259251411586,1.5547646626092002,1.1460264211437654,0.7890457018764091,0.2975,0.5315,0.6435,0.438,0.2185
17_tyndall_bruce_b_format.wav,1.49183485970006,1.7508547064265636,0.5627710913688818,9.005145,9.827465,0.8883018,0.90575385,8.688444844879879,1.807529406704474,16.012996490872908,2.1911007413902417,2.0706164874324817,1.5905017200038676,1.399337828663633,1.0407334482744894,0.7932018754466988,0.3589080617144554,0.455,0.9715,0.1195,0.194,0.624
18_R1 Nuclear Reactor Hall.wav,4.492917559287587,4.81625691888645,3.230418823216915,-2.6431582,-0.5405679,0.3523764,0.4689225,63.72261695743545,5.440384603111238,5.05741006156411,4.126364281377495,4.946565300222201,5.33459493153566,4.785541692411958,3.454738718193892,2.3596641036364026,1.2469880506218352,0.5535,0.8614999999999999,0.622,0.9255,0.843
19_clifford_tower_S1R1_Bformat.wav,2.313602232677273,2.455443284687781,1.4687035083685946,1.6872908,3.3887365,0.59592474,0.68574166,4.214654506771145,7.162004839619745,2.849482825896597,2.0711985305313148,2.4997459445653702,2.8577969331010222,2.4875529376473895,2.0697912051004814,1.358199062021914,0.9297447044161986,0.1055,0.267,0.05,0.5,0.201
20_newgrange_s1r6.wav,0.2555216887060714,0.2956974147333698,1.772688378810349,13.485498,21.787094,0.9571047,0.993417,8.507575382065397,15.389958006296972,0.5796067485174903,0.3001867079567642,0.3379702896356319,0.3190298440509648,0.2674690914440594,0.2669048973791038,0.2578841095356409,0.2204622670727464,0.653,0.2225,0.214,0.4609999999999999,0.1795
